 [error]: connect ECONNREFUSED 127.0.0.1:2717  =======> 2022-01-18T20:13:59.346Z
[error]: text index required for $text query --- 1:17:00 am Wed Feb 09 2022
[error]: text index required for $text query --- 1:21:50 am Wed Feb 09 2022
[error]: text index required for $text query --- 1:22:05 am Wed Feb 09 2022
[error]: text index required for $text query --- 1:22:18 am Wed Feb 09 2022
[error]: text index required for $text query --- 1:26:17 am Wed Feb 09 2022
[error]: text index required for $text query --- 1:26:41 am Wed Feb 09 2022
[error]: text index required for $text query (no such collection 'farmico.blogs') --- 1:33:12 am Wed Feb 09 2022
[error]: language override unsupported: hi --- 1:34:55 am Wed Feb 09 2022
[error]: "language" must be one of [en, mr, hi] --- 1:35:00 am Wed Feb 09 2022
[error]: language override unsupported: hi --- 1:35:06 am Wed Feb 09 2022
[error]: language override unsupported: mr --- 1:35:33 am Wed Feb 09 2022
[error]: "body" length must be at least 200 characters long --- 1:37:07 am Wed Feb 09 2022
[error]: language override unsupported: hi --- 1:37:15 am Wed Feb 09 2022
[error]: language override unsupported: hi --- 1:38:21 am Wed Feb 09 2022
[error]: language override unsupported: hi --- 1:38:39 am Wed Feb 09 2022
[error]: language override unsupported: mr --- 1:38:59 am Wed Feb 09 2022
[error]: language override unsupported: mr --- 1:39:01 am Wed Feb 09 2022
[error]: language override unsupported: mr --- 1:39:02 am Wed Feb 09 2022
[error]: "body" length must be at least 200 characters long --- 1:43:40 am Wed Feb 09 2022
[error]: language override unsupported: hi --- 1:43:47 am Wed Feb 09 2022
[error]: language override unsupported: hi --- 1:43:55 am Wed Feb 09 2022
[error]: language override unsupported: hi --- 1:44:06 am Wed Feb 09 2022
[error]: language override unsupported: hi --- 1:44:16 am Wed Feb 09 2022
[error]: language override unsupported: hi --- 1:44:27 am Wed Feb 09 2022
[error]: language override unsupported: hi --- 1:44:28 am Wed Feb 09 2022
[error]: language override unsupported: hi --- 1:45:00 am Wed Feb 09 2022
[error]: language override unsupported: hi --- 1:45:12 am Wed Feb 09 2022
[error]: "$search" had the wrong type. Expected string, found null --- 1:47:03 am Wed Feb 09 2022
[error]: text index required for $text query --- 1:47:14 am Wed Feb 09 2022
[error]: text index required for $text query --- 1:48:54 am Wed Feb 09 2022
[error]: text index required for $text query --- 1:48:54 am Wed Feb 09 2022
[error]: text index required for $text query --- 1:48:55 am Wed Feb 09 2022
[error]: text index required for $text query --- 1:49:36 am Wed Feb 09 2022
[error]: language override unsupported: hi --- 1:50:14 am Wed Feb 09 2022
[error]: language override unsupported: hi --- 1:50:30 am Wed Feb 09 2022
[error]: language override unsupported: hi --- 1:50:54 am Wed Feb 09 2022
[error]: language override unsupported: hi --- 1:50:56 am Wed Feb 09 2022
[error]: language override unsupported: hi --- 1:51:06 am Wed Feb 09 2022
[error]: "language" is required --- 1:52:14 am Wed Feb 09 2022
[error]: Blog validation failed: locale: Path `locale` is required. --- 1:52:36 am Wed Feb 09 2022
[error]: "$search" had the wrong type. Expected string, found null --- 1:56:14 am Wed Feb 09 2022
[error]: Cannot populate path `user` because it is not in your schema. Set the `strictPopulate` option to false to override. --- 1:58:29 am Wed Feb 09 2022
[error]: Requested route does not exit. --- 1:59:22 am Wed Feb 09 2022
[error]: Requested route does not exit. --- 5:31:52 pm Sat Feb 26 2022
[error]: Requested route does not exit. --- 5:32:04 pm Sat Feb 26 2022
[error]: Requested route does not exit. --- 5:32:56 pm Sat Feb 26 2022
[error]: Access token has expired. Issue a new token, Or log in again --- 8:30:45 pm Sat Feb 26 2022
[error]: Access token has expired. Issue a new token, Or log in again --- 9:32:05 pm Sat Feb 26 2022
[error]: Access token has expired. Issue a new token, Or log in again --- 9:33:10 pm Sat Feb 26 2022
[error]: Requested route does not exit. --- 9:33:11 pm Sat Feb 26 2022
[error]: Access token has expired. Issue a new token, Or log in again --- 9:34:40 pm Sat Feb 26 2022
[error]: Access token has expired. Issue a new token, Or log in again --- 9:39:45 pm Sat Feb 26 2022
[error]: Access token has expired. Issue a new token, Or log in again --- 9:39:56 pm Sat Feb 26 2022
